X,Y,Z,Roll,Pitch,Yaw
0,0,0,0,0,0
0.9,0.25,0,-23.88,-2.17,3.04
0.25,0.399521813,0.040139569,-24.86,-2.62,0.12
1.286017608,0.412555631,-0.076182795,38.18,0,0
0.149411984,1.122836519,-0.004406992,-12.42,0,0
1.300496404,0.036331807,-0.001892508,-24,0,0
1.640323835,1.119263363,-0.00845552,21.37,0,0
0.067515081,0.196252587,-0.001482368,-41.62,1.94,1.77
1.644836817,0.678322303,-0.00384618,-41.59,2.04,1.93
-2,0.099507019,-0.002555209,-11.52,0,0
0.199748565,0.938035522,-0.00275016,8.01,0,0
1.950374713,0.91022538,0.010903059,-44.8,2.11,2.14
1.94603703,2,0,-44.36,-0.73,-1
1.578991389,0.029160563,0.067214036,2.47,-3.6,-0.15
-0.5,0.397399826,-0.103493388,-47.18,-1.78,-4.12
-0.75,2,-0.000993307,-43.4,-3.83,2.11
0.559701234,0.75,0.00267133,-44.12,-0.71,-1.01
0,0.594388245,-0.044618951,-15.29,2.44,-0.98
-2,0,0,-10.09,3.14,-0.47
0,0.653218769,0.000572026,-4.51,0,0
2,0,0,38.72,0,0
-1,0.814255982,0.000739781,33.06,0,0
0.89163861,0.846771565,-0.000742841,-4.36,0,0
0.497994748,0.9001023,0.001331055,33.36,0,0
0.85137344,1.68591685,0.08725647,8.06,-2.9,0.39
2,1.70098739,-0.160457086,-16.47,-1.85,-0.97
1.721627996,-2,0,-9.32,0,2.68
-1.5,1.628569595,0.003785875,-8.79,3.14,-0.45
2,1.5,0.012061972,-9.05,0,2.67
0.600069354,0.602886734,0.006764883,-3.55,0,0
1.215645002,1.273064574,0.005769335,39.99,0,0
1.030555524,1.647188085,-0.00176231,35.42,0,0
0.505548842,0.993225304,0.005121833,-5.57,0,2.66
2,0.285113368,0.003074266,-4.3,0,-3.55
1.710743789,-1.5,0.004578206,-2.21,-3.14,-0.6
1.952315073,1.62265858,0.066443952,11.58,-9.1,0.22
1.676843281,1.588660866,-0.098615975,-8.49,0,0
0.85489275,0.200732621,0.004033727,43.23,0,0
1.737654105,1.227607968,0.004443106,41.54,0,0
0.694604499,1.910654678,-0.000670918,6.28,0,2.14
1.780921793,-1.75,0.002173586,9.81,0,1.87
0.489849238,0.389872858,0.006466856,58.73,0,0
1.590090345,1.136636743,-0.003102672,3.17,0,0
0.413546429,0.832308865,0.004921671,23.64,-3.39,0.95
0.024510484,1.960155649,0.002312452,28.56,-0.08,-1.54
0.406551588,1.387009613,0.000691171,33.85,0.11,-1.01
0.865174443,0.017026674,0.050177595,27.56,-2.6,1.03
0.371357429,0.790764601,-0.061837788,42.8,0,0
0.117519512,0.715446247,0,50.11,0,0
1.005936337,1.82403508,-0.002161536,50.84,0,0
1.972084173,0.65677356,0.002137977,51.63,0,0
0.066155381,1.591556961,-0.002161536,52.24,0,0
0.347486837,1.594777532,-0.00277121,-5.79,0,0
0.6010205,0.473812946,0.005549805,44.35,0.99,5.2
0.008479605,1.335379923,0.001555015,56.71,0,0
1.469867346,1.729847944,0.00215009,9.41,0,0
0.92373404,0.349080236,-0.015615498,11.54,0,0
1.424303876,1.12613582,0.053062042,-38.14,0,0
1.693940411,1.400171579,-0.072141676,51.69,0,0
0.843574502,1.864453404,0,11.43,0,0
1.060205762,0.237823664,0,11.66,0,0
0.359126037,0.491293688,0,11.87,0,0
0.163537518,0.830232468,0.006377383,12.06,0,0
0.50516787,0.566771785,0,12.29,0,0
1.265928808,0.668555152,-0.002103977,12.39,0,0
1.959240259,0.770897149,0.002081535,12.67,0,0
1.454672001,0.358820774,0.0126445,12.1,0,0
1.252678115,1.453690274,0.004554057,12.52,0,0
1.393187257,0.557212549,0.035905943,-39.3,0,0
2,1.722178459,-0.046496966,54.64,0,0
1.5,-1.5,0.004566619,12.77,0,0
1,-1,0.002211062,12.93,0,0
0,-0.5,-0.004686401,12.94,0,0
2,1.528916592,-0.009134107,13.53,0,0
2,0,0,13.36,0,0
2,0.5,-0.00450231,13.41,0,0
1.5,0.5,-4.85089E-05,13.56,0,0
1.543900477,2,0.003266794,-30.3,0,0
1.802767826,1.75,0.002243621,15.52,-1.16,-0.76
0.363511275,1.682915211,0.043120323,4.84,-2.33,-0.18
1.47440669,1.141577399,-0.055524787,14.87,-3.77,-3.91
0.997387728,0.186142164,0.002146632,17.82,-1.09,-0.8
0.092648879,0.636280686,0.005807473,20.75,-4.07,2.28
0.441677573,1,0.008826515,19.87,-3.97,2.24
0.861237084,0.75,0.007798875,20.2,-0.9,-0.9
0.155540148,1.656303378,0.009299501,39.12,0,0
0.75,1.52304882,-0.096412108,28.34,0,0
0.25,0.5,0.002848718,28.2,-3.68,1.94
0.493201499,0.5,0.000505715,28.27,-0.57,-1.19
0.545819071,0.140507885,0.124955313,24.02,-0.81,-1.06
1.801049526,1,0.007239802,40.18,-2.17,-0.31
0.513900047,0.290107662,-0.061826849,19.93,-1.67,-0.74
0.192341137,1.227281503,0.089973868,28.6,0.05,-1.19
0.81491583,1.071541843,0.125899315,24.32,-3.9,2.05
-0.25,0.356867847,0.000412642,23.63,-3.84,2.07
1.964486023,0,0.003965163,23.51,-0.73,-1.06
0.486291133,0.296349223,0.010426444,38.41,0,0
-0.5,1.369426981,-0.0858098,28.33,0,0
0,0.25,0.002954251,28.19,-0.54,-1.21
0.5,1,0,28.18,-0.54,-1.21
0,1,0.001281847,28.24,-3.68,1.93
0.75,1,0,28.21,-3.68,1.93
0.293390484,1.25,-0.0009922,28.14,-0.54,-1.21
1.284842972,0.302610023,-0.602550747,20.02,-1.48,-0.74
0.5,0.036910017,0.094695136,28.51,-3.07,1.93
0,2,0.001309414,28.26,-3.67,1.92
0,0.412843384,0.001649735,28.18,-3.68,1.93
1.193782198,1.676554741,-0.000966574,28.08,-3.69,1.93
0.44220396,0.313514902,0.050502701,29.03,-3.48,1.83
0.760978855,0.968140704,0.068114056,19.3,-1.07,-0.99
0.533113705,1.86796736,-0.010915202,19.41,-0.91,-0.96
1.15186619,0.410327306,0.009593265,0,0,0
0.25,0.346449756,-0.04967605,-15.62,0,0
0.609765376,1.725145891,0.000125053,29.42,-3.58,1.83
-1.5,0.89214874,0.042886659,56.36,0,0
1.826965822,0,-0.005919779,14.11,0,0
1.550306469,1.016822528,0.034247542,-39.66,0,0
1.196360628,1.198273526,0.038855821,-23.01,-2.37,0
0,0.263990791,-0.11142723,58.7,0,0
0,0,0,14.14,0,0
0.071722569,0,0.003752994,14.25,0,0
1.274061135,0.673328006,0.010342126,-0.73,0,0
-1.25,0.144393613,-0.030339582,29.49,-0.56,-1.29
-0.75,0,-0.001121193,28.54,-0.44,-1.29
0.5,0.25,-0.005201875,28.59,-0.47,-1.29
-0.25,1,0.002466937,29.21,-3.59,1.85
1.628523382,0,-0.00158659,29.23,-0.47,-1.28
0.25,1.632415323,0.04086139,53.32,-4.5,2.34
0.814886194,-0.75,-0.004756779,55.86,-1.44,-1.22
0.685030706,0.525682193,0.074133863,7.37,-5.71,2.41
1.876403915,1.708227337,-0.119758139,55.22,-3.81,2.32
-0.25,1.300324371,0.009915842,54.03,-4.94,2.06
0.5,-0.25,0.002593226,54.84,-1.79,-1.2
0.5,0,0.001915348,54.94,-1.78,-1.22
0.5,-0.5,0.000313025,54.11,-4.86,1.9
1,1.75,0.000140512,55.38,-4.92,1.93
1,1.5,0.008965825,56.35,-4.93,1.92
0.812465368,1,0.002440848,56.51,-4.93,1.94
1.5,0.072976416,0.012931199,58.21,1.32,-1.19
1.258992271,1.25,0.001953295,13.8,-1.78,-1.18
0.595073746,1.87503127,0.042667351,7.69,-5.19,2.84
2,1.877877226,-0.037705162,58.13,0,0
-0.25,1.012347533,0.007299633,-29.95,0,0
-0.75,1.25,0.002829353,14.63,-4.33,2.39
-1,-0.25,0.003409235,57.68,0,0
1.649559743,0.309108445,0.008946414,-28.92,0,0
0.58589323,0.397903252,0.007453582,7.05,-5.16,2.8
0.613146025,1.5,-0.008562306,8.76,-1.76,-0.35
1.581961969,1.5,0.005634945,8.98,-4.79,2.75
1.250541912,2,-0.005342446,9.48,-4.84,2.73
0.460712573,2,0,9.95,-4.79,2.7
1.918750326,1.470281044,0.003100883,10.23,-4.8,2.7
0.139522542,0.061792401,-0.001530945,19.43,-1.13,2.44
0.666964505,0.261967581,-0.034477308,-3.44,-4.07,-0.34
1.25,1.614916102,0.033481764,-9.7,1.72,-0.46
0.669180558,1.644161293,0.0023467,1.94,-6.99,-0.48
0.981526813,0.473664282,0,10.74,-4.75,2.65
1.318539924,0.913677705,0.00438814,10.88,-1.6,-0.5
1,1.575018608,-0.0002885,20.53,-1.12,-0.73
1.082447366,1.462953261,0.005399479,3.5,-7.1,-0.52
1.91444501,1.75,-0.003386303,11.38,-1.56,-0.53
-0.5,1.028481242,0.00160988,22.97,-4.1,2.32
1.744192299,1.064156855,0.006211624,4.43,-7.17,-0.57
